TRACTCE,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02,area_sqm
442700,0.067765585959413,-0.411716506260885,-0.03808562475776,0.282727141414313,0.24404431624199,2.362209599049989,0.353436678976307,0.844592099465721,0.176278730282577,2.773926105310874,0.391522303734067,0.561864958051408,1233870.4126034847
442800,-0.073564841771717,0.110049010448742,-0.274681472460176,0.103526788102176,0.052824805100931,2.973247437299039,0.220700761777516,0.530792102932443,0.126389646872648,2.863198426850297,0.495382234237692,0.427265314830267,1278480.158292642
442900,-0.707092229807092,0.046497589881261,0.444691346895219,0.046744007486136,0.546235926200823,0.291891511191421,0.492230701799701,2.430747373763677,1.253328156007915,0.24539392131016,0.047539354904482,2.384003366277541,2066256.4200827305
443001,-0.133972922010969,0.301512564975201,0.002602438192948,-0.442365012058749,0.263942808334498,1.106576833133094,0.158564883230461,2.164702996677509,0.397915730345467,0.805064268157893,0.155962445037513,2.607068008736258,768631.927180194
443002,-0.077374433940957,-0.24164157838029,-0.252001041614846,0.30051895368847,0.341194361993375,0.949240686801368,0.117128067055253,2.287820116992429,0.418568795934332,1.190882265181658,0.369129108670099,1.987301163303959,1580114.977930461
443102,-0.570429138333049,-0.460262555299923,0.14954801425812,0.711690507787171,0.549629954491229,0.230191869127159,0.766899359198274,2.254988649595384,1.120059092824278,0.690454424427082,0.617351344940154,1.543298141808213,2367111.381594895
443301,-0.19767690948169,-0.342555782515136,-0.565884316900235,0.919474726432207,0.543538666652023,1.044601522668684,0.56713697498993,1.667607914948733,0.741215576133713,1.38715730518382,1.133021291890165,0.748133188516526,1577486.2691734182
504311,-0.875096585285738,0.023713491985686,-0.004832516605936,0.747830084603121,0.289426941553001,1.502327956706802,0.948030535846355,1.112947717276258,1.164523526838739,1.478614464721116,0.952863052452291,0.365117632673137,2176289.8311867095
504314,0.098022622316303,0.021069565925316,0.348951122850551,-0.830868021819635,0.14789332730683,0.232956533600118,0.384135262826032,2.87811056865946,0.049870704990527,0.211886967674802,0.035184139975481,3.708978590479095,1475039.5269884437
504315,1.285196479627015,-0.649738540327374,-0.353226572890907,-0.241350047989697,1.941638298250824,0.037217496873223,0.179100335320963,1.87502042163663,0.656441818623809,0.686956037200597,0.53232690821187,2.116370469626327,1586575.6190642007
423400,0.20983038805525,0.122765256204371,-1.455635033278282,0.651618039471849,0.324381886185006,0.222091367210864,0.776450868427419,2.425046541027085,0.114551498129756,0.099326111006493,2.232085901705701,1.773428501555236,755335.6717988538
423500,-0.181707205069823,-0.141621987416775,-0.113939229019995,0.285050262304609,0.202313055327072,1.98588812916953,0.499884393949073,1.104246728627591,0.384020260396895,2.127510116586305,0.613823622969068,0.819196466322982,635655.0422074237
